DISTRICT NAME,GDP (in Rs. Cr.)|1999-00,GDP (in Rs. Cr.)|2000-01,GDP (in Rs. Cr.)|2001-02,GDP (in Rs. Cr.)|2002-03,GDP (in Rs. Cr.)|2003-04,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2000-01,Growth Rate % (YoY)|2001-02,Growth Rate % (YoY)|2002-03,Growth Rate % (YoY)|2003-04,Growth Rate % (YoY)|2004-05,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
LAKHIMPUR,822.55,845.08,862.7,907.65,959.4,1198.8,1272.77,1348.33,1412.63,NA,1849.75,NA,NA,NA,2.739043219,2.085009703,5.210385997,5.701536936,24.95309568,6.170337004,5.936657841,4.768862222,NA,NA,NA,NA,NA,ASSAM
MORIGAON,723.08,741.5,760.38,809.56,847.17,983.75,1071.31,1141.68,1213.38,NA,1571.16,NA,NA,NA,2.547435968,2.546190155,6.467818722,4.645733485,16.12191178,8.900635324,6.568593591,6.280218625,NA,NA,NA,NA,NA,ASSAM
NAGAON,1933.73,1965.36,2028.57,2180.4,2317.54,2434.73,2551.3,2722.82,2873.12,NA,3675.86,NA,NA,NA,1.635698882,3.216204665,7.484582736,6.28967162,5.056654901,4.787799879,6.722847176,5.52001234,NA,NA,NA,NA,NA,ASSAM
NALBARI,1066.84,1077.86,1131.61,1232.5,1325.93,1078.91,1130.21,1205.99,1280.26,NA,1663.11,NA,NA,NA,1.032957144,4.986732971,8.915615804,7.580527383,-18.62994276,4.754798825,6.704948638,6.158425858,NA,NA,NA,NA,NA,ASSAM
SONITPUR,1624.76,1662.02,1720.29,1852.4,1974.05,2092.06,2186.38,2330.29,2455.63,NA,3168.47,NA,NA,NA,2.293261774,3.505974657,7.679519151,6.567156122,5.978065399,4.5084749,6.582112899,5.378729686,NA,NA,NA,NA,NA,ASSAM
TINSUKIA,2061.17,2140.23,2179.84,2325.98,2476.53,2597.14,2784.14,2988.39,3167.13,NA,4690.19,NA,NA,NA,3.835685557,1.850735669,6.704161773,6.472540607,4.870120693,7.200227943,7.336197174,5.981147039,NA,NA,NA,NA,NA,ASSAM
UDALGURI,NA,NA,NA,NA,NA,1034.51,1050.36,1119.54,1215.93,NA,1548.3,NA,NA,NA,NA,NA,NA,NA,NA,1.532126321,6.586313264,8.609786162,NA,NA,NA,NA,NA,ASSAM
ARARIA,886.89,997.93,930.74,1005.23,996.64,1369.8,1436.277553,1543.766767,1697.371703,1819.03826,1905.592596,96.80636738,NA,NA,12.5201547,-6.73293718,8.003309195,-0.854530804,7.437991652,4.853084638,7.483874779,9.950009221,7.167938388,4.758247124,-94.91988122,NA,NA,BIHAR
ARWAL,263.82,285.24,282.22,286.6,306.42,334.21,366.2419803,413.5753989,436.9862934,467.7567073,495.6194725,63.17837348,NA,NA,8.119172163,-1.058757538,1.551980724,6.915561759,-3.061157888,9.584387161,12.92408328,5.660610987,7.041505505,5.956678936,-87.25264503,NA,NA,BIHAR
AURANGABAD,1000.92,1074.53,1114.16,1159.61,1166.92,1346.64,1359.055026,1674.895319,1778.026591,1822.876972,1931.652994,142.6742468,NA,NA,7.354234105,3.68812411,4.079306383,0.630384353,-2.018133205,0.921926121,23.23969866,6.157475711,2.522480916,5.967271688,-92.613878,NA,NA,BIHAR
BANKA,681.84,717.57,703.34,774.24,804.49,1042.12,1030.737488,1212.051793,1251.509,1343.149064,1396.557229,84.89043739,NA,NA,5.240232313,-1.98308179,10.08047317,3.907057243,12.202762,-1.092245799,17.59073543,3.255406064,7.322365574,3.976339364,-93.92144943,NA,NA,BIHAR
BEGUSARAI,1747.91,1946.86,1903.94,2204.41,1870.7,2826.24,2645.533884,2953.558813,3323.209306,4017.943944,3883.659675,169.8020023,NA,NA,11.38216499,-2.204575573,15.78148471,-15.13829097,25.19110493,-6.393870156,11.64320482,12.51542686,20.9055336,-3.342114043,-95.62778368,NA,NA,BIHAR
BHABHUA,681.95,896.47,740.21,776.55,806.52,905.22,957.0298287,1056.264313,1144.262621,1244.327438,1179.118233,72.44631902,NA,NA,31.45685168,-17.43058887,4.909417598,3.859378018,-6.292466399,5.723451612,10.3690064,8.331087904,8.744917042,-5.240518146,-93.85589019,NA,NA,BIHAR
BHAGALPUR,1551.67,1684.2,1757.42,1887.63,2001.88,2586.08,2743.76879,3075.230581,3294.701287,3627.923904,3941.960109,312.0536984,NA,NA,8.541120212,4.347464672,7.409156605,6.052563267,6.363518293,6.097599064,12.08052925,7.136723581,10.11389465,8.656085773,-92.0837936,NA,NA,BIHAR
BHOJPUR,1239.83,1529.77,1484.55,1393.22,1395.24,1619.35,1786.839481,2069.082253,2211.294845,2518.754376,2564.783002,284.3977545,NA,NA,23.38546414,-2.955999922,-6.152032602,0.14498787,-1.626243514,10.34300681,15.79564225,6.873220799,13.9040496,1.827436061,-88.91143016,NA,NA,BIHAR
BUXAR,761.04,849.41,761.81,808.22,793.2,956.84,1101.794952,1231.869907,1355.573279,1424.811042,1431.087353,129.5963024,NA,NA,11.61174183,-10.31304082,6.092070201,-1.85840489,0.229450328,15.14934069,11.80573166,10.04191852,5.107637045,0.44050128,-90.94420742,NA,NA,BIHAR
DARBHANGA,1516.72,2126.33,1788.98,1832.84,1782.71,2375.23,2433.822361,2715.955266,2892.48908,3226.809942,3499.827623,292.1304325,NA,NA,40.19265257,-15.86536427,2.451676374,-2.735099627,10.86491914,2.466807875,11.59217327,6.499879285,11.55824112,8.460916079,-91.65300512,NA,NA,BIHAR
GAYA,1869.33,2016.84,2033.35,2171.14,2259,2600.79,2723.828473,3233.319157,3457.123256,3628.888107,3862.587685,350.9494912,NA,NA,7.891062573,0.818607326,6.776501832,4.046721999,-0.614431164,4.730811507,18.70494743,6.921806624,4.968432943,6.439977522,-90.9141353,NA,NA,BIHAR
GOPALGANG,1020.65,1122.26,1087.71,1070.79,1122.66,1486.46,1529.971042,1754.934463,1866.667318,1933.316595,2092.028213,107.877196,NA,NA,9.955420565,-3.078609235,-1.555561685,4.844087076,3.902339088,2.927158642,14.70376987,6.366782154,3.570495755,8.209292713,-94.84341582,NA,NA,BIHAR
